,open,high,low,close,volume,EMA_5,EMA_20,RSI,Signal
2025-05-23 19:00:00,195.4797,195.98,195.4,195.8,71728.0,195.6365482795046,196.5719358453919,22.933632696552337,-1
2025-05-27 04:00:00,197.92,199.7,197.92,199.08,141716.0,196.7845956868419,196.84406466857607,41.322470082491066,-1
2025-05-27 05:00:00,199.08,199.39,199.01,199.04,51204.0,197.53649762165514,197.07920822025957,79.57545586754645,-1
2025-05-27 06:00:00,199.04,199.23,198.6,198.7,71697.0,197.9243663087273,197.2507332663304,75.67151272766552,-1
2025-05-27 07:00:00,198.7,198.74,198.02,198.55,133430.0,198.13292326143358,197.38679114983486,67.92409392882982,1
2025-05-27 08:00:00,195.27,199.7721,193.69,198.54,1123396.0,198.2686208815369,197.50641981589544,73.09114716967741,-1
2025-05-27 09:00:00,198.51,199.17,196.15,198.0676,7330696.0,198.2016121518991,197.56414360709948,65.95144951056585,1
2025-05-27 10:00:00,198.08,198.8799,197.93,198.155,7839358.0,198.18607449445528,197.62446012286003,67.59116589625052,1
2025-05-27 11:00:00,198.17,200.093,198.105,200.07,6847564.0,198.8140570316946,197.87241142310714,76.78103719224708,-1
2025-05-27 12:00:00,200.07,200.65,199.89,200.04,5669672.0,199.22270788452596,198.09083790559308,81.30633753986925,-1
2025-05-27 13:00:00,200.045,200.55,199.67,200.5407,4302140.0,199.66204088084731,198.33635091181566,84.54834123852379,-1
2025-05-27 14:00:00,200.54,200.74,200.22,200.4638,4252160.0,199.92929484973476,198.54849744883197,84.47763175361723,-1
2025-05-27 15:00:00,200.45,200.55,199.93,200.19,8281050.0,200.01619676791287,198.71145585242112,80.87646762608982,-1
2025-05-27 16:00:00,200.18,200.47,196.636,200.2654,17106845.0,200.0992646402995,198.86510189996963,81.60098261926144,-1
2025-05-27 17:00:00,200.3398,210.214,187.0203,200.45,350191.0,200.2161765473022,199.0212406722266,81.26596917780577,-1
2025-05-27 18:00:00,200.46,200.47,200.11,200.36,88516.0,200.26411773112562,199.1526997004399,65.07229993876894,1
2025-05-27 19:00:00,200.36,200.47,200.32,200.45,40120.0,200.32607851578527,199.27971215152715,66.40985056561641,1
2025-05-28 04:00:00,200.43,201.0,199.83,200.07,50876.0,200.24071898446945,199.3568796308255,65.79724182463949,1
2025-05-28 05:00:00,200.08,200.36,199.86,200.09,25764.0,200.19047931275665,199.42829313501093,68.30630973325108,1
2025-05-28 06:00:00,200.08,200.97,200.05,200.95,29530.0,200.44365290951575,199.57620182379173,73.83212689371506,-1
2025-05-28 07:00:00,200.94,200.96,200.63,200.79,41601.0,200.5591019501181,199.69395111596867,78.69429571229864,-1
2025-05-28 08:00:00,200.95,220.84,198.44,201.13,197956.0,200.74940131155222,199.8330144553547,79.77143543351261,-1
2025-05-28 09:00:00,201.15,202.73,199.9,200.08,7608592.0,200.52626753206604,199.8568937185257,50.12102435009948,1
2025-05-28 10:00:00,200.07,201.05,200.0,200.7956,6238242.0,200.61604502378304,199.9475195740276,57.84305584388657,1
2025-05-28 11:00:00,200.79,201.31,200.58,200.9099,3586477.0,200.71399668427188,200.0403098952662,54.1664785807793,1
2025-05-28 12:00:00,200.91,201.35,200.825,201.08,2587521.0,200.83599779096755,200.14043613294075,56.81064591714966,1
2025-05-28 13:00:00,201.09,201.52,200.73,200.86,2826959.0,200.84399852737522,200.20965917752363,57.49440715883701,1
2025-05-28 14:00:00,200.8592,201.25,200.32,200.885,2766284.0,200.85766568498917,200.27456537988556,57.00968413431088,1
2025-05-28 15:00:00,200.88,201.5211,200.195,200.41,6698898.0,200.7084437894662,200.2875705162153,49.57537154989392,1
2025-05-28 16:00:00,200.41,202.0365,200.0,200.38,17476273.0,200.59896252605327,200.296439095286,50.215053763440665,1
2025-05-28 17:00:00,200.35,202.0365,199.84,200.25,224040.0,200.48264168385307,200.29198644753592,47.86780383795318,1
2025-05-28 18:00:00,200.2499,201.25,199.65,201.25,111653.0,200.7384277895028,200.38378311744572,61.11111111111129,1
2025-05-28 19:00:00,201.25,207.66,200.42,207.5285,1085165.0,203.00178519457953,201.06799047317224,82.14980334529128,-1
2025-05-29 04:00:00,207.43,207.9,206.64,206.93,288468.0,204.31119013032813,201.62906539211852,76.44379587865942,-1
2025-05-29 05:00:00,206.97,207.34,206.58,206.58,95784.0,205.06746008711968,202.10271262039583,75.18048186483449,-1
2025-05-29 06:00:00,206.58,206.6,205.4,205.72,186409.0,205.28497339145804,202.44862336437427,69.09794457851385,1
2025-05-29 07:00:00,205.78,206.0,204.5,205.09,317429.0,205.21998226096306,202.70111236036252,71.60041390014659,-1
2025-05-29 08:00:00,205.53,207.77,200.42,203.8383,1161184.0,204.7594215072664,202.80977781038794,62.538840032638,1
2025-05-29 09:00:00,203.8399,204.49,200.15,201.345,7637865.0,203.62128100477463,202.66985357916766,51.49909385960683,1
2025-05-29 10:00:00,201.33,201.67,200.76,201.46,6074900.0,202.9008540031537,202.55431447045459,51.314242235595195,1
2025-05-29 11:00:00,201.45,201.4899,198.7,198.865,5953732.0,201.5555693353992,202.2020824527847,44.073788022813666,-1
2025-05-29 12:00:00,198.86,200.205,198.51,200.1,4520719.0,201.070379556924,202.00143638659358,47.824520563130484,-1
2025-05-29 13:00:00,200.09,200.45,199.06,199.21,4076467.0,200.45025303794182,201.7350474745011,46.74920084520781,-1
2025-05-29 14:00:00,199.205,199.77,198.76,198.92,3934598.0,199.94016869195713,201.46645708767232,46.09980231874765,-1
2025-05-29 15:00:00,198.915,200.31,198.57,199.94,8663050.0,199.94011246130472,201.32083955921993,49.2094660070383,-1
2025-05-29 16:00:00,199.93,206.397,188.7924,199.875,14091601.0,199.91840830753642,201.18293434316448,46.318016281062555,-1
2025-05-29 17:00:00,199.88,199.95,188.7924,199.36,119873.0,199.73227220502386,201.00908635043294,18.359995351899954,-1
2025-05-29 18:00:00,199.36,199.61,199.24,199.25,53095.0,199.571514803349,200.841348998456,19.08212560386474,-1
2025-05-29 19:00:00,199.3,199.5,199.0,199.0,50465.0,199.38100986889916,200.66578799825203,19.23701298701299,-1
2025-05-30 04:00:00,199.82,200.3,199.35,200.13,65853.0,199.63067324593294,200.6147093891506,27.79984114376488,-1
2025-05-30 05:00:00,200.11,200.37,200.02,200.19,32738.0,199.8171154972887,200.57422417320817,29.617304492512474,-1
2025-05-30 06:00:00,200.19,200.28,199.99,200.2,30425.0,199.94474366485917,200.53855451843262,33.12210645463563,-1
2025-05-30 07:00:00,200.19,200.41,199.99,200.2,58124.0,200.02982910990613,200.506287285029,43.08992154496071,-1
2025-05-30 08:00:00,200.1,200.45,193.16,198.65,1231585.0,199.56988607327068,200.32937923742983,35.545267489711875,-1
2025-05-30 09:00:00,198.65,199.58,197.97,198.2477,4758635.0,199.1291573821804,200.13100356085187,45.89959215123615,-1
2025-05-30 10:00:00,198.22,199.485,198.156,199.035,4679987.0,199.09777158812028,200.02656486636718,42.47838860952594,-1
2025-05-30 11:00:00,199.035,199.44,198.61,198.88,2860415.0,199.02518105874685,199.917313883313,47.39936323802908,-1
2025-05-30 12:00:00,198.88,198.99,196.78,197.36,5363184.0,198.47012070583122,199.67365054954797,39.702426530774,-1
2025-05-30 13:00:00,197.34,198.47,197.17,198.215,3297367.0,198.38508047055413,199.53467487587932,38.359695530123005,-1
